"id","coin_id","date","one_day_trend","day_perc_diff","one_week_trend","symbol_count","name_count","coin_id_count","sentiment_score","social_dominance"
20182596,"brett","2024-11-03","6","42.857142857142854","0.8571428571428571",20,20,20,"NaN","4.240961239310657e-06"
20194027,"uniswap","2024-11-03","26","9.420289855072465","22.714285714285715",16,286,302,"NaN","6.403851471359092e-05"
20184497,"dogecoin","2024-11-03","13","6.403940886699508","14.142857142857142",153,63,216,"NaN","4.5802381384555094e-05"
20190371,"pepe","2024-11-03","-58","-20.78853046594982","19.714285714285715",221,221,221,"NaN","4.686262169438276e-05"
20189419,"neiro","2024-11-03","-23","-46.93877551020408","-1.1428571428571428",26,26,26,"NaN","5.513249611103854e-06"
20133647,"uniswap","2024-11-02","72","35.294117647058826","-7.714285714285714",30,246,276,"NaN","7.129968212225054e-05"
20129039,"neiro","2024-11-02","21","75","0.5714285714285714",49,49,49,"NaN","1.2658276898515494e-05"
20129991,"pepe","2024-11-02","147","111.36363636363636","25.285714285714285",279,279,279,"NaN","7.207467866705761e-05"
20124117,"dogecoin","2024-11-02","32","18.71345029239766","8.857142857142858",165,38,203,"NaN","5.2441432865278474e-05"
20122216,"brett","2024-11-02","-14","-50","-2",14,14,14,"NaN","3.616650542432998e-06"
20124749,"ethereum","2024-11-02","-184","-8.546214584300975","-11.571428571428571",1387,582,1969,"NaN","0.000508656065575041"
20069605,"pepe","2024-11-01","4","3.125","-0.14285714285714285",132,132,132,"NaN","3.790073567624962e-05"
20068651,"neiro","2024-11-01","4","16.666666666666664","-4.428571428571429",28,28,28,"NaN","8.039549991931737e-06"
20064373,"ethereum","2024-11-01","158","7.919799498746867","-42.57142857142857",1552,601,2153,"NaN","0.0006181839690224654"
20063740,"dogecoin","2024-11-01","-91","-34.73282442748092","-0.14285714285714285",139,32,171,"NaN","4.9098680307868826e-05"
20073258,"uniswap","2024-11-01","-2","-0.9708737864077669","-32",20,184,204,"NaN","5.8573864226931226e-05"
20061844,"brett","2024-11-01","10","55.55555555555556","-2",28,28,28,"NaN","8.039549991931737e-06"
20013114,"uniswap","2024-10-31","-115","-35.82554517133956","-40.57142857142857",24,182,206,"NaN","4.19689038944698e-05"
20004229,"ethereum","2024-10-31","-364","-15.43026706231454","-58.857142857142854",1427,568,1995,"NaN","0.0004064464236381906"
20001700,"brett","2024-10-31","4","28.57142857142857","-2.4285714285714284",18,18,18,"NaN","3.6671857771866816e-06"
20009461,"pepe","2024-10-31","-62","-32.631578947368425","-3.5714285714285716",128,128,128,"NaN","2.607776552666085e-05"
20008507,"neiro","2024-10-31","-15","-38.46153846153847","-0.2857142857142857",24,24,24,"NaN","4.889581036248909e-06"
20003596,"dogecoin","2024-10-31","-140","-34.82587064676617","8.714285714285714",176,86,262,"NaN","5.337792631238392e-05"
19944085,"ethereum","2024-10-30","-91","-3.7142857142857144","-5.142857142857143",1713,646,2359,"NaN","0.0006820093226251028"
19943452,"dogecoin","2024-10-30","-15","-3.597122302158273","21.857142857142858",305,97,402,"NaN","0.0001162220210662532"
19941556,"brett","2024-10-30","-11","-44","-1",14,14,14,"NaN","4.047533071959067e-06"
19948363,"neiro","2024-10-30","6","18.181818181818183","-2.4285714285714284",39,39,39,"NaN","1.12752707004574e-05"
19949317,"pepe","2024-10-30","51","36.69064748201439","-2.857142857142857",190,190,190,"NaN","5.4930805976587334e-05"
19952970,"uniswap","2024-10-30","20","6.64451827242525","-4.857142857142857",35,286,321,"NaN","9.28041511499186e-05"
19883300,"dogecoin","2024-10-29","192","85.33333333333334","19",342,75,417,"NaN","0.00012260933842117984"
19888202,"neiro","2024-10-29","-32","-49.23076923076923","-19.428571428571427",33,33,33,"NaN","9.70289728512934e-06"
19889154,"pepe","2024-10-29","55","65.47619047619048","-15.428571428571429",139,139,139,"NaN","4.086977947372661e-05"
19883934,"ethereum","2024-10-29","1178","92.61006289308176","-70.85714285714286",1694,756,2450,"NaN","0.0007203666166232389"
19881411,"brett","2024-10-29","14","127.27272727272727","-5.714285714285714",25,25,25,"NaN","7.350679761461621e-06"
19892797,"uniswap","2024-10-29","200","198.01980198019803","-39.42857142857143",22,279,301,"NaN","8.850218432799792e-05"
19838949,"ethereum","2024-10-28","-178","-12.275862068965518","-359.2857142857143",886,386,1272,"NaN","0.0005685871681677011"
19847812,"uniswap","2024-10-28","-42","-29.37062937062937","-60",16,85,101,"NaN","4.514725156048569e-05"
19844169,"pepe","2024-10-28","1","1.2048192771084338","-41.57142857142857",84,84,84,"NaN","3.7548209218621764e-05"
19843217,"neiro","2024-10-28","31","91.17647058823529","-56.714285714285715",65,65,65,"NaN","2.905516189536208e-05"
19838315,"dogecoin","2024-10-28","108","92.3076923076923","-47.57142857142857",180,45,225,"NaN","0.00010057556040702259"
19836426,"brett","2024-10-28","-3","-21.428571428571427","-7.714285714285714",11,11,11,"NaN","4.91702739767666e-06"
